Measurement Name :,20230623_SDR641_Run09_Plate17_TPC,,Generated On :,"23/06/2023, 18:18:58",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"23/06/2023, 17:51:09",,,,,,Batch No.:  ,PSt5-1624-01_25°C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"23/06/2023, 18:18:31",,,,,,O2_cal0 [°],54.76,,Adjustment at ,100, % air saturation,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,Adjustment at ,38, °C,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [°C],24.8,,Adjustment at ,965, mbar,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPA Phase values  ,,45.21,44.98,44.9,44.99,45.03,44.99,44.86,44.65,45.14,45.07,44.77,44.79,44.94,44.9,44.87,44.74,44.91,45.1,45.02,45.42,44.72,45.06,44.64,44.63,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
23.06.23 17:51:11,0.03,144.98,143.35,141.52,141.48,145.85,145.85,142.35,140.62,146.9,142.28,143.2,141.97,141.71,144.4,144.41,141.39,140.69,147.32,146.48,143,144.43,145.42,142.43,141.83,,39,965,33,33.72,
23.06.23 17:51:26,0.28,149.27,147.31,144.4,145.01,150.06,148.78,145.65,143.84,151.39,146.69,146.27,145.24,146.06,146.47,147.3,145.65,144.19,150.3,149.43,148.02,148.93,149.86,145.25,146.06,,39,965,33,33.43,
23.06.23 17:51:41,0.53,152.29,149.84,146.68,148.36,151.98,151.32,147.09,146.67,155.06,148.17,147.91,146.88,148.56,148.56,149.8,146.68,146.89,152.87,151.55,150.21,152.64,153.06,147.69,149.11,,39,965,33,33.29,
